Abk;Kurzname;Ländercode;Locationcode;Gültig ab
XOBY;Bryne;;;
XPBG;Brzeg;;;
XPBD;Brzeg Dolny;;;
XMSZS;B-szabadi-Sosto;;;
RBTS;Bt Schulzentrum;DE;11688;2008-12-24
RBTM;Bt Stadtmitte;DE;11689;2010-12-12
RBTW;Bt Wannenweg;DE;11691;2008-12-24
RBTR;Bt-Rinklingen;DE;11692;2008-12-24
SBB;Bubach;DE;11764;2008-12-14
NBTH;Bubenreuth;DE;11765;2008-12-14
SBN;Bübingen;DE;11783;2011-12-11
NBM;Buchbrunn-Mains;DE;11766;2008-12-14
ABCH;Büchen;DE;11785;2010-08-01
RBUN;Buchen (Odenw);DE;11767;2008-12-14
ABCHG;Büchen Bbf;DE;11786;2008-12-14
RBUO;Buchen Ost;DE;11768;2008-12-14
FBNU;Buchenau (Lahn);DE;11770;2008-12-14
MBAU;Buchenau/Obb;DE;11771;2008-12-14
NBUE;Büchenbach;DE;11788;2008-12-14
NBUU;Büchenbach Üst;DE;11789;2008-12-14
MBHA;Buchenhain;DE;11772;2008-12-14
WBUH;Buchenhorst;DE;11773;2008-12-14
FBDH;Büches-Düdelshm;DE;11791;2008-12-14
RBU;Buchholz (Baden);DE;11774;2008-12-14
ABLZ;Buchholz (Nordh);DE;11775;2008-12-14
BBUZ;Buchholz(Zauche);DE;11776;2008-12-14
HBUH;Buchhorst Abzw;DE;11590;2008-12-14
RBCG;Büchig;;;
MBU;Buchloe;DE;11778;2008-12-14
XSBU;Buchs SG;;;
BBUE;Bückchen;;;
HBKB;Bückeburg;DE;11792;2008-12-14
BBUW;Buckow(b Beesk);DE;11779;2008-12-14
BBCH;Buckower Chauss;DE;10843;2008-12-14
XUBB;Bucuresti Bane;;;
XUBN;Bucuresti Nord;;;
XUB;Bucuresti Obor;;;
XPBU;Bucze;;;
XMBJ;Buda Jozsefvaros;;;
XMBU;Budafok-Haros;;;
XMBOS;Budaörs;;;
XMBR;Budapest Rakasr;;;
XMBSR;Budapest Sorok u;;;
XMBD;Budapest-Deli;;;
XMBK;Budapest-Keleti;;;
XMBO;Budapest-Kikötö;;;
XMBN;Budapest-Nyugati;;;
XMBDT;Budateteny;;;
WBHN;Buddenhagen;DE;11781;2009-01-30
XNB;Budel;;;
LBUD;Büden;DE;11795;2008-12-14
FBUD;Budenheim;DE;11782;2008-12-14
KBUE;Büderich;DE;11796;2012-10-01
FBDR;Büdesh-Dromersh;DE;11797;2008-12-14
FBDG;Büdingen (Oberh);DE;11798;2008-12-14
FBDW;Büdingen (Ww);DE;11799;2008-12-14
UBF;Bufleben;DE;11818;2008-12-14
XUBF;Buftea;;;
RBGG;Buggingen;DE;11819;2008-12-14
XUBU;Buhaiesti;;;
RBUE;Bühl (Baden);DE;11800;2008-12-14
RBNB;Bühl (Baden) F;DE;11801;2008-12-14
KBUH;Buir;DE;11821;2008-12-14
KBUU;Buir Üst;DE;11823;2008-12-14
XNBP;Buitenpost;;;
XJBU;Bujanovac;;;
XPBK;Buk;;;
HBUK;Buke;DE;11824;2008-12-14
XMBKK;Bükkösd;;;
XPBUB;Bukowina Bobr;;;
XSBH;Bülach;;;
EBUD;Buldern;DE;11825;2008-12-14
XBBU;Bullange;;;
SBY;Bullay DB;DE;11826;2008-12-14
XFBG;Bully-Grenay;;;
LBZG;Bülzig;DE;11805;2008-12-14
LBW;Buna Werke;DE;11828;2008-12-14
LBW H;Buna Werke Bstg;DE;11829;2009-12-13
HBDE;Bünde (Westf);DE;11806;2008-12-14
SBTR;Bundenthal-Rumb.;;;
BBUP;Bundesplatz;DE;10844;2008-12-14
HBUN;Bunnen;;;
XDBU;Bur;;;
EBUR;Burbach;DE;11830;2008-12-14
SSHI;Burbach Mitte;DE;19151;2013-12-15
XLBD;Burden;;;
EBUE;Büren;;;
LBU;Burg (b Mg);DE;11831;2008-12-14
ABR;Burg (Dithm);DE;11834;2010-12-12
ABUG;Burg (F) DB-Gr;DE;11836;2009-12-13
FBUN;Burg Nord;DE;11833;2008-12-14
WBSG;Burg Stargard;DE;11838;2008-12-14
ABUW;Burg(F)West;DE;11837;2008-12-14
MBGU;Burgau (Schwab);DE;11840;2008-12-14
NBUM;Burgbernheim;DE;11841;2008-12-14
NBUS;Burgbernhm Stadt;DE;11842;2008-12-14
NBUW;Burgbernh-Wildb;DE;11843;2010-12-12
KBGL;Burgbrohl;;;
HBGD;Burgdorf;DE;11844;2008-12-14
FBRG;Bürgeln;DE;11809;2008-12-14
WBGH;Bürgerhorst;DE;11810;2008-12-14
XABU;Burgfried;;;
NBUG;Burggailenreuth;;;
NBUH;Burghaslach;DE;11846;2008-12-19
FBUH;Burghaun;DE;11847;2008-12-14
MBUH;Burghausen;DE;11848;2011-01-11
MBGH;Burgheim;DE;11850;2008-12-14
FBGH;Burgholzhausen;DE;11851;2008-12-14
LBGK;Burgkemnitz;DE;11853;2008-12-14
MBGK;Burgkirchen;DE;11854;2008-12-14
NBK;Burgkunstadt;DE;11855;2009-12-13
NBUR;Burglauer;DE;11856;2008-12-14
XSBGL;Bürglen;;;
NBF;Burglengenfeld;DE;11857;2008-12-14
XEBU;Burgos;;;
NBN;Burgsinn;DE;11858;2008-12-14
NBNB;Burgsinn Bbf;DE;11859;2008-12-14
DBU;Burgstädt;DE;11860;2008-12-14
TBU;Burgstall (Murr);DE;11861;2008-12-14
NBUT;Burgthann;DE;11863;2008-12-14
FBNG;Burg-u Nd Gemünd;DE;11839;2008-12-14
ABWD;Burgwedel;;;
TBUW;Burgweiler;DE;11865;2004-11-04
NROS;Burgweinting;DE;11867;2008-12-14
HBUR;Burhafe;DE;11869;2008-12-14
DBWD;Burkhardsw-Maxen;DE;11870;2008-12-14
DBUM;Burkhardtsd Mi;DE;11872;2008-12-14
DBUF;Burkhardtsdorf;DE;11871;2008-12-14
RBBN;Burkheim-Bisch.;;;
TBLD;Burladingen;;;
TBLW;Burladingen West;;;
FBUE;Bürstadt;DE;11811;2008-12-14
FBUP;Bürstadt;DE;11812;2008-12-14
XIBUL;Busalla;;;
EBUH;Büscherhof;DE;13055;2008-12-14
EBAH;Buschh Achenbach;;;
EBSG;Buschh Siemag;;;
LBOW;Buschow;DE;11873;2008-12-14
EBUS;Buschstraße;DE;12338;2008-12-14
RBUS;Busenbach;;;
ABUS;Büsenbachtal;DE;11813;2008-12-14
SBNS;Busenb-Schindh;;;
ZUBU;Bushtino;;;
XFBS;Busigny;;;
XSBUS;Bussnang;;;
XIBU;Busto Arsizio;;;
ABSM;Büsum;DE;11814;2008-12-14
NBT;Buttenheim;DE;11874;2008-12-14
KBUT;Büttgen;DE;11815;2008-12-14
UBU;Buttstädt;DE;11876;2008-12-19
UQBU;Buttstädt TH/ST;DE;11877;2008-12-14
FBZ;Butzbach;DE;11878;2008-12-14
FBZN;Butzbach Nord;;;
FBZO;Butzbach Ost;;;
WB;Bützow;DE;11817;2008-12-14
MBUX;Buxheim;DE;11879;2008-12-14
ABX;Buxtehude;DE;11880;2008-12-14
ABXG;Buxtehude DB-Gr;DE;11881;2008-12-14
YHHBH;Buxtehude Strw;;;
ABXS;Buxtehude Süd;;;
XRBU;Buzet;;;
XUBUZ;Buzias;;;
WRSB;Bw Rost Seehafen;DE;19041;2008-12-14
XVBYA;Byarum;;;
XPBY;Bydgoszcz Gl;;;
XTBS;Bysice;;;
XICIG;C.Isarco/Gossens;;;
UCA;Caaschwitz;DE;11882;2008-12-14
XYCA;Cadca;;;
XSCZ;Cadenazzo;;;
ACD;Cadenberge;DE;11883;2008-12-14
NCA;Cadolzburg;DE;11884;2008-12-14
DCDF;Cainsdorf;DE;11885;2008-12-14
DBAC;Cainsdorf Awanst;DE;11886;2008-12-14
XICMT;Cairo Montenotte;;;
XRC;Cakovec;;;
XFCK;Calais Ville;;;
XFFE;Calais-Frethun;;;
XFCI;Calais-Maritime;;;
XICD;Calamandrana;;;
BC;Calau (Niederl);DE;11887;2008-12-14
LCBO;Calbe (S) Ost;DE;11888;2008-12-14
LCBS;Calbe (S) Stadt;DE;11889;2010-08-14
LCBW;Calbe (S) West;DE;11890;2008-12-14
HCAL;Calberlah;DE;11891;2008-12-14
XECM;Caldas de M.;;;
FCLD;Caldern;DE;11892;2008-12-14
XECL;Caldetas-S Vicen;;;
XECA;Calella;;;
TCA;Calmbach;DE;11893;2008-12-19
TCAS;Calmbach Süd;DE;11894;2008-12-19
XICA;Caltagirone;;;
XICL;Caltanissetta C.;;;
FCX;Caltex;DE;18678;2008-12-14
TCW;Calw;DE;11895;2008-12-14
XICBS;Cambiano-Santena;;;
UCB;Camburg (Saale);DE;11896;2008-12-14
WCA;Cammin (Meckl);DE;11897;2008-12-14
XECT;Camp de Tarragon;;;
XICPM;Campiglia Marit.;;;
XICTF;Campo d Tr/Freif;;;
XICLM;Campo Ligure-M;;;
XICN;Cancello;;;
XICLL;Candia Lomellina;;;
XICGR;Canegrate;;;
XICNI;Canelli;;;
XICC;Canicatti;;;
XFCA;Cannes;;;
XFCB;Cannes la Bocca;;;
XICNL;Cantalupo;;;
ECP;Capelle (Westf);DE;11898;2008-12-14
XLCP;Capellen;;;
ZBCA;Capljina;;;
XSCR;Capolago-Riva S;;;
TCP;Cappel;DE;11899;2008-12-14
TCP A;Cappel AVG-Anlag;DE;18100;2008-12-14
BSIS;Caputh Schwielow;DE;11900;2008-12-14
BCAP;Caputh-Geltow;DE;11901;2008-12-14
XUCC;Caracal;;;
XUCS;Caransebes;;;
XFCAB;Carbonne;;;
XFCN;Carcassonne;;;
XICRT;Carentino;;;
XICR;Cariati;;;
XICAR;Carimate;;;
WCAH;Carlshöhe;DE;11903;2008-12-14
XICMG;Carmagnola;;;
XFCNO;Carnoules;;;
XICV;Carovigno;;;
XXCB;Casa Branca;;;
XICMF;Casale Monfer;;;
XICAM;Casalmaggiore;;;
XICP;Casalpusterlengo;;;
XICSA;Casarsa;;;
WCW;Casekow;DE;11904;2008-12-14
XICS;Caserta;;;
XICSS;Casorate Semp;;;
XICSI;Cassine;;;
XICAS;Cassino;;;
XICDL;Castagnole d L;;;
XICGG;Casteggio;;;
XICAB;Castel Bolognese;;;
XICSG;Castel S Giov;;;
XICB;Casteld./Ehrenb.;;;
XICAE;Castelfranco Em;;;
XICAG;Castelguelfo;;;
XICAF;Castell' Alfero;;;
XICLC;Castellazzo-C;;;
XICT;Castello;;;
XICLA;Castello d'Annon;;;
XICM;Castelmaggiore;;;
XFCAN;Castelnaudary;;;
XICNB;Castelnuovo B;;;
XICLR;Castelrosso;;;
XICSP;Castelspina-P;;;
XSCA;Castione-Arbedo;;;
XICTC;Catania C;;;
XICZ;Catanzaro;;;
XICZL;Catanzaro Lido;;;
XICO;Cattolica S Gio.;;;
XICCB;Cava Carbonara;;;
XICTI;Cava Tigozzi;;;
XICVB;Cavagnolo-Br;;;
XFCAV;Cavaillon;;;
XICVM;Cavallermaggiore;;;
XXCX;Caxarias;;;
XICF;Cefalu;;;
XMCD;Celldömölk;;;
HC;Celle;DE;11909;2008-12-14
XICEL;Celle         IT;;;
HC  G;Celle Gbf;DE;11910;2008-12-14
HCN;Celle Nord;;;
HCNG;Celle Nord DB-Gr;DE;11911;2009-12-13
HCVO;Celle Vorstadt;;;
XICNG;Cengio;;;
XICTL;Centallo;;;
XFCEN;Centron;;;
XLCS;Cents-Hamm;;;
XFCE;Cerbere;;;
XTCEC;Cercany;;;
XQCK;Cerkezköy;;;
XTCES;Cernosice;;;
XTCC;Cernovice u Ch;;;
XTCVT;Cernovice u Tabo;;;
XTCKO;Cerveny Kostelec;;;
XICMM;Cervia-Mil Marit;;;
XICER;Cervignano AG;;;
XICE;Cesena;;;
XICES;Cesenatico;;;
XTCKA;Ceska Kamenice;;;
XTC;Ceska Kubice;;;
XTCL;Ceska Lipa hl.n.;;;
XTCLS;Ceska Lipa Strel;;;
XTCSK;Ceska Skalice;;;
XTTR;Ceska Trebova;;;
XTCB;Ceske Budejovice;;;
XTCV;Ceske Velenice;;;
XTCK;Cesky Tesin;;;
XICVA;Ceva;;;
XFCEV;Cevins;;;
ECFS;CF Schulzentrum;DE;11971;2010-12-12
XFCM;Chalons en Champ;;;
XFCS;Chalon-sur-Saone;;;
NCH;Cham (Oberpf);DE;11912;2008-12-14
NKUW;Cham (Oberpf) K;DE;11913;2008-12-14
NCHM;Cham Müll;DE;11915;2008-12-14
NCH S;Cham Schwedensch;DE;11914;2008-12-14
XFCY;Chambery;;;
NCHA;Chamerau;DE;11916;2008-12-14
XFCV;Champag-Ardennes;;;
XFCG;Champigneulles;;;
XBCH;Charleroi-Sud;;;
BCHG;Charlottbg Abzw;DE;10994;2008-12-14
XVCG;Charlottenbg Gr;;;
BCHS;Charlottenbg S-B;DE;10993;2008-12-14
BCL;Charlottenhof OL;DE;11918;2010-01-01
XFCHY;Charny (Yonne);;;
XFCAR;Chat Arnoux St A;;;
XFCIR;Chateau Gontier;;;
XFCD;Chateau-du-Loir;;;
XFCX;Chateauroux;;;
XFCT;Chateau-Thierry;;;
XBCL;Chatelet;;;
XFCUO;Chauconin;;;
XFCH;Chauny;;;
XTCH;Cheb;;;
XTCS;Cheb-Skalka;;;
XCTK;Cheliabinsk;;;
XFCSG;Chelles-Gournay;;;
XPCH;Chelm;;;
XPCK;Chelmek;;;
XPCM;Chelmza;;;
DCHG;Chemn Hbf DB-Gr;DE;11924;2008-12-14
DCKI;Chemn Kinderw;DE;11926;2008-12-14
DCZW;Chemn Zwönitzbr;DE;11937;2008-12-14
DCBH;Chemn-Borna Hp;DE;11940;2008-12-14
DCE;Chemn-Erfenschl;DE;11941;2008-12-14
YLLCI;Chemn-Hilb Strw;DE;11948;2008-12-14
DC;Chemnitz Hbf;DE;11923;2008-12-14
DCM;Chemnitz Mitte;DE;11927;2008-12-14
DCSG;Chemnitz S DB-Gr;DE;11931;2008-12-14
DCS;Chemnitz Süd;DE;11930;2008-12-14
DCD;Chemnitz Süd Hp;DE;11932;2011-12-11
DCHA;Chemnitz-Harthau;DE;11945;2008-12-14
DCHP;Chemnitz-Hilb Hp;DE;11947;2008-12-14
DCC;Chemnitz-Schönau;DE;11955;2008-12-14
DCSI;Chemnitz-Siegmar;DE;11956;2008-12-14
DCRE;Chemn-Reichenh;DE;11952;2008-12-14
XFCGG;Chenay-Gagny;;;
XBCE;Chenee;;;
XFCHB;Cherbourg;;;
ZUCK;Cherkassy;;;
ZUCG;Chernigov;;;
ZUCL;Chernolesskaia;;;
XBCT;Chertal;;;
XCCH;Chertkovo;;;
XWCB;Cherven Brjag;;;
XSCH;Chiasso;;;
XSCC;Chiasso Cargo;;;
XSCT;Chiasso CT;;;
XSXCH;Chiasso Gr IT;;;
XSCHT;Chiasso Transito;;;
XICI;Chiavari;;;
XICH;Chieti;;;
XICK;Chiusa/Klausen;;;
XICCS;Chiusano-Cossom;;;
XICU;Chiusi-Chianci.T;;;
XICHV;Chivasso;;;
ZUCM;Chmelnickij;;;
XTCE;Chocen;;;
XPCL;Chociwel;;;
XTCD;Chodov;;;
XPCO;Chojnice;;;
XPCJ;Chojnow;;;
XTCO;Chomutov;;;
XTCM;Chomutov Mesto;;;
ZUC;Chop;;;
WCO;Chorin;DE;11957;2008-12-14
WCOK;Chorin Hp;DE;11958;2008-12-14
XTCN;Chornice;;;
XTCOT;Chotebor;;;
XTCT;Chotetov;;;
XTCY;Chotyne;;;
XTCHC;Chrast u Chrudim;;;
XTCP;Chrast u Plzne;;;
XTCR;Chrastava;;;
XTCA;Chrastava-And H;;;
XTCHR;Chribska;;;
XPCA;Chrosnica;;;
XTCU;Chrudim;;;
XSC;Chur;;;
XTCHV;Chvalkov;;;
XUCI;Ciceu;;;
XPCIW;Ciechanow;;;
XPCI;Ciemnice;;;
XYCT;Cierna nad Tisou;;;
XUCP;Cimpulung;;;
XUCM;Cimpulung Moldov;;;
XFCIG;Cintegabelle;;;
XTCI;Citice;;;
XUCL;Ciulnita;;;
XICIV;Civitanova Mar.M;;;
XICVV;Civitavecchia;;;
ECOH;Clarholz;DE;11959;2008-12-14
DCL;Clausnitz;DE;11960;2008-12-14
XFCLE;Clermont-Ferrand;;;
XFCL;Clerval;;;
XLCV;Clervaux;;;
HCLG;Cloppenb DB-Gr;DE;11962;2008-12-14
HCLP;Cloppenburg;DE;11961;2008-12-14
NC;Coburg;DE;11963;2008-12-14
NCG;Coburg Gbf;DE;11964;2008-12-14
NCN;Coburg Nord;DE;11965;2009-12-13
NCNS;Coburg-Neuses;DE;11967;2008-12-14
XICOC;Cocconato;;;
SCOC;Cochem (Mosel);DE;11968;2008-12-14
XFCO;Cocheren;;;
ECMF;Coesfeld (Westf);DE;11970;2011-05-01
XNCV;Coevorden;;;
HCV;Coevorden BE;;;
FCOE;Cölbe;DE;11972;2009-01-08
XECV;Collado Villalba;;;
NRF;Collenberg;DE;11975;2009-12-13
XFCLL;Collioure;;;
LCB;Collmen-Böhlitz;DE;11976;2008-12-14
XFC;Colmar;;;
XLCU;Colmar Usines;;;
XLCB;Colmar-Berg;;;
XUCT;Comanesti;;;
XFCQ;Combs la Ville-Q;;;
XIC;Como S.G.;;;
XFCP;Compiegne;;;
ASDC;Condea;DE;11761;2008-12-14
XICGL;Conegliano;;;
XFCF;Conflans-Jarny;;;
WCOR;Consrade;DE;11979;2012-06-10
XUCO;Constanta;;;
XUCOF;Constanta Ferry;;;
SCN;Contwig;DE;11980;2008-12-14
HCOP;Coppenbrügge;DE;11982;2008-12-14
LCZ;Coppiplatz;DE;16208;2008-12-14
XFCOM;Corbehem;;;
XFCOE;Corbeil-Essones;;;
XICST;Corbetta S Stef;;;
XKC;Corby GEFCO;;;
HCOR;Cordingen;DE;11983;2008-12-14
XSCO;Cornaux;;;
FCG;Cornberg;DE;11984;2008-12-14
BCO;Coschen;DE;11985;2008-12-14
XFCOS;Cosne;;;
DCB;Cossebaude;DE;11986;2008-12-14
DCO;Cossen;DE;11987;2008-12-14
XSCS;Cossonay;;;
XICIM;Costigliole (M d;;;
XICIA;Costigliole d'A;;;
LCWG;Coswig (Anh) Gbf;DE;11989;2008-12-14
LCW;Coswig (Anh) Hp;DE;11988;2008-12-14
DCW;Coswig (bei Dre);DE;11990;2008-12-14
DCW B;Coswig Stw 1;DE;11991;2008-12-14
BCS;Cottbus;DE;11992;2008-12-14
BCSB;Cottbus Cbn;DE;11993;2010-12-12
BCSF;Cottbus Cfw;DE;11994;2010-12-12
BCSS;Cottbus Südwest;DE;11996;2010-12-12
BCS Z;Cottbus W 10;DE;11998;2008-12-14
BCS W;Cottbus W 9;DE;11999;2008-12-14
BCSO;Cottbus-Sandow;DE;12002;2008-12-14
XFCOL;Coulommiers;;;
XFCSN;Courcelles s N;;;
XFCOU;Coutras;;;
XXCO;Covilha;;;
XICOZ;Cozzo;;;
TC;Crailsheim;DE;12004;2008-12-14
TQC;Crailsheim BW/BY;DE;12005;2008-12-14
ECRA;Crange;DE;12007;2008-12-14
DCR;Cranzahl;DE;12008;2008-12-14
XUCN;Crasna;;;
ECA;C-Rauxel Hbf;DE;11905;2013-01-01
ECAS;C-Rauxel Süd;DE;11906;2008-12-14
ECASP;C-Rauxel Süd Hp;DE;11907;2008-12-14
ECME;C-Rauxel-Merkl;DE;11908;2008-12-14
UCL;Crawinkel;DE;12009;2008-12-14
NCR;Creidlitz;DE;12011;2008-12-14
XFCR;Creil;;;
XICRA;Cremona;;;
XICSC;Crescentino;;;
NCRE;Creußen (Oberfr);DE;12014;2008-12-14
XFCW;Creutzwald;;;
XICRE;Crevalcore;;;
XKCR;Crewe;;;
DCU;Crimmitschau;DE;12015;2008-12-14
WCZ;Crivitz;DE;12017;2008-12-14
UKS;Crossen (Elster);DE;12020;2008-12-14
UKSO;Crossen Ort;DE;12021;2008-12-14
XICRO;Crotone;;;
HCRA;Croya;;;
XLCT;Cruchten;;;
XJCK;Crveni Krst;;;
XMC;Csajag;;;
BMZD;Cs-Merzdorf S-N;DE;12001;2008-12-14
XMCN;Csor-Nadasdladan;;;
XMCO;Csorvas;;;
BWDF;Cs-Willmersdf N;DE;12003;2008-12-14
XFCU;Culmont-Chalind;;;
XFCZ;Culoz;;;
XICUN;Cuneo;;;
XICSZ;Cunico-Scandel;;;
DCF;Cunnersdorf b Ka;DE;12027;2008-12-14
UCF;Cursdorf;DE;12028;2008-12-14
XUCA;Curtea de Arges;;;
XUCU;Curtici;;;
ACV M;Cux Amerika Bf;;;
ACV;Cuxhaven;DE;12029;2008-12-14
ACV F;Cuxhaven CF;DE;12030;2008-12-14
ACVG;Cuxhaven DB-Gr;DE;12031;2010-06-03
ACV G;Cuxhaven Gbf;DE;12032;2008-12-14
XICZZ;Cuzzago;;;
ZUCV;Cvetkovo;;;
ECWH;CWH;DE;16831;2008-12-14
XPCY;Czarnowasy;;;
XPCD;Czechowice-Dzied;;;
XPCZ;Czeremcha;;;
XPCW;Czerwiensk;;;
XPCWA;Czerwonka;;;
XPCS;Czestoch Stradom;;;
XPC;Czestochowa Osob;;;
KDA;D Abstellbf;DE;12522;2008-12-14
KDFF;D Flughafen;DE;12527;2008-12-14
KDFFH;D Flughafen   Hp;DE;12528;2009-12-13
KDF;D Flughafen Term;DE;12529;2008-12-14
KDF A;D Flughf W 884;DE;12530;2008-12-14
KDH;D Hafen;DE;12532;2008-12-14
KDU K;D Karthäuser Weg;DE;12574;2008-12-14
KDVS;D Völklinger Str;DE;12541;2008-12-14
KDV;D Volksgarten;DE;12542;2008-12-14
KDW;D Wehrhahn;DE;12543;2008-12-14
FDAL;Da Lichtwiese;DE;12072;2008-12-14
EDAD;Daaden;;;
FDA;Da-Arheilgen;DE;12081;2008-12-14
WDL;Dabel;DE;12033;2010-05-01
BDAB;Dabendorf;DE;12034;2008-12-14
XPDGO;Dabrowa Gornica;;;
MDA;Dachau Bahnhof;DE;12035;2008-12-14
MDAS;Dachau Stadt;DE;12037;2008-12-14
UDA;Dachrieden;DE;12038;2008-12-14
XSDA;Dachsen;;;
TDA;Dachswald;DE;20097;2008-12-14
UDW;Dachwig;DE;12039;2008-12-14
FDE N;Da-Eberst Nord;DE;12083;2009-12-13
FDE;Da-Eberstadt;DE;12082;2008-12-14
ADBH;Dagebüll Hafen;;;
ADBK;Dagebüll Kirche;;;
ADM;Dagebüll Mole;;;
XSDS;Dagmersellen;;;
EDHL;Dahl;DE;12040;2008-12-14
EDAB;Dahlbruch;DE;12041;2008-12-14
KDAM;Dahlem (Eifel);DE;12043;2008-12-14
KQDA;Dahlem NRW/RP;DE;12044;2008-12-14
LDA;Dahlen (Sachs);DE;12045;2008-12-14
ADL;Dahlenburg;DE;12046;2008-12-14
EDAK;Dahlerbrück;DE;12047;2008-12-14
BDT;Dahlewitz;DE;12048;2008-12-14
HDAG;Dahlinghausen;;;
SDA;Dahn;;;
SDAS;Dahn Süd;;;
FDK;Da-Kranichstein;DE;12085;2008-12-14
XADA;Dalaas;;;
XOD;Dale;;;
XWDP;Dalgopol;;;
KDAL;Dalheim;DE;12050;2008-12-14
KXD;Dalheim Grenze;DE;12051;2008-12-14
RDL;Dallau;DE;12052;2008-12-14
ADA;Dalldorf;DE;12053;2008-12-14
BDL;Dallgow;DE;12054;2008-12-14
KETD;Dalli;;;
WDF;Dalwitzhof;DE;12055;2008-12-14
WDF N;Dalwitzhof Nordk;DE;12056;2008-12-14
RDA;Dammerstock;DE;15386;2008-12-14
ADST;Dammtor (S-Bahn);DE;14384;2008-12-14
XSDN;Däniken;;;
ADBG;Dannenb O DB-Gr;DE;12063;2013-08-02
ADB;Dannenberg Ost;DE;12062;2008-12-14
ADW;Dannenberg West;;;
WDWE;Dannenwalde;DE;12064;2008-12-14
MDAR;Darching;DE;12065;2008-12-14
LDAR;Darlingerode;DE;12067;2008-12-14
FD  G;Darmstadt Gbf;DE;12070;2011-12-11
FD;Darmstadt Hbf;DE;12071;2008-12-14
FDN;Darmstadt Nord;DE;12074;2008-12-14
FDO;Darmstadt Ost;DE;12077;2008-12-14
FDS;Darmstadt Süd;DE;12078;2008-12-14
WDAZ;Darze;DE;12088;2008-12-14
MDAG;Dasing;DE;12089;2008-12-14
HDAS;Dassel;;;
EDAT;Datteln;DE;12090;2008-12-14
KDAT;Dattenfeld(Sieg);DE;12091;2008-12-14
ADH;Dauenhof;DE;12093;2008-12-14
SDF;Daufenbach;DE;12094;2008-12-14
ZTDA;Daugavpils;;;
SDAU;Daun;DE;12095;2008-12-14
FDSU;Dausenau;DE;12096;2008-12-14
EDVB;Davensberg;DE;12097;2008-12-14
XKDL;Daventry IRFT In;;;
XKDW;Daventry IRFT Wa;;;
XSDD;Davos Dorf;;;
XSDP;Davos Platz;;;
FWX;Da-Wixhausen;DE;12086;2008-12-14
XFDX;Dax;;;
TXOH;DB/ENAG;DE;19321;2008-12-14
KDBE;D-Benrath;DE;12545;2008-12-14
KDBI;D-Bilk;DE;12546;2008-12-14
KDBH;D-Bilk        Hp;DE;12547;2008-12-14
KDD;D-Derendorf;DE;12548;2008-12-14
KDD O;D-Derendorf Dn;DE;12549;2008-12-14
KDD N;D-Derendorf Dnf;DE;12550;2008-12-14
KDDP;D-Derendorf Dp;DE;12551;2008-12-14
KDDH;D-Derendorf Hp;DE;12552;2008-12-14
XNDE;De Eschmarke;;;
XPDA;Deba Opoczynska;;;
ZUDB;Debalcevo;;;
XPDB;Debica;;;
XPDL;Deblin;;;
XMD;Debrecen;;;
XMDC;Debrecen-Csapok;;;
XTD;Decin hl.n.;;;
XTDN;Decin hl.n.nak.n;;;
XTDVH;Decin vych horni;;;
XTDV;Decin vychod;;;
XTD Z;Decin zapad.n.;;;
XTDC;Decin-Certova V;;;
XTDPR;Decin-Priper;;;
XTDP;Decin-Prost Zleb;;;
XUDD;Deda;;;
HDET;Dedelstorf;;;
HDEH;Dedenhausen;DE;12100;2008-12-14
HDED;Dedensen-Gümmer;DE;12101;2008-12-14
EDED;Dedinghausen;DE;12102;2008-12-14
DSCU;Dedores GmbH;DE;19559;2011-12-11
XCDD;Dedovichi;;;
ADZB;Deezbüll;;;
NTWD;Degg Textilwerke;DE;12107;2009-01-27
NDHG;Deggend Ha DB-Gr;DE;12105;2011-12-11
NWTE;Deggend W 1 u 3;DE;12108;2008-12-14
NWTZ;Deggend Werft 2;DE;12109;2008-12-14
NDH;Deggendorf Hafen;DE;12104;2008-12-14
NDG;Deggendorf Hbf;DE;12106;2008-12-14
TDGM;Degmarn;;;
XIDG;Dego;;;
HDEI;Deichhausen;;;
MADG;Deichmann;DE;12304;2009-02-11
RDM;Deidesheim;DE;12111;2008-12-14
NDE;Deining (Oberpf);DE;12112;2008-12-14
ADS;Deinste;;;
MDS;Deisenhofen;DE;12114;2008-12-14
TDL;Deißlingen;DE;12115;2008-12-14
TDLM;Deißlingen Mitte;DE;12116;2010-12-12
XUDC;Dej Calatori;;;
XNDD;Delden;;;
XSDE;Delemont;;;
XNDT;Delft;;;
XNDZ;Delfzijl;;;
LDLG;Delitzsch Gbf;DE;12117;2008-12-14
LDLO;Delitzsch ob Bf;DE;12118;2008-12-14
LAH;Delitzsch uBf Ah;DE;12121;2008-12-14
LDL;Delitzsch unt Bf;DE;12120;2008-12-14
KDEM;D-Eller Mitte;DE;12554;2008-12-14
KDES;D-Eller Süd;DE;12555;2008-12-14
SDE;Dellfeld;DE;12122;2008-12-14
SDEO;Dellfeld Ort;DE;12123;2008-12-14
HD;Delmenhorst;DE;12125;2008-12-14
HD  F;Delmenhorst Df;DE;12126;2010-03-01
HDG;Delmenhorst Gr;DE;21597;2014-05-20
HDSU;Delmenhorst Süd;;;
HQD;DelmenhorstNI/HB;DE;12128;2008-12-14
XRDN;Delnice;;;
EBTND;Delog/Detag;DE;11519;2008-12-14
XVDJ;Delsjömotet;;;
